iter	Passed	Remaining
0	9	9905
1	21	10491
2	29	9822
3	37	9453
4	46	9265
5	54	9057
6	62	8909
7	70	8750
8	78	8682
9	86	8591
10	90	8151
11	98	8093
12	105	8042
13	114	8037
14	122	8020
15	130	8024
16	138	8018
17	146	8006
18	155	8014
19	162	7984
20	171	7973
21	179	7961
22	184	7839
23	192	7811
24	199	7784
25	207	7762
26	214	7738
27	222	7724
28	228	7659
29	236	7640
30	243	7624
31	253	7670
32	258	7561
33	266	7567
34	273	7534
35	281	7541
36	290	7547
37	298	7562
38	307	7567
39	315	7569
40	323	7567
41	331	7557
42	339	7552
43	347	7550
44	355	7545
45	363	7538
46	371	7531
47	379	7523
48	387	7517
49	395	7516
50	403	7515
51	412	7514
52	420	7514
53	427	7487
54	435	7481
55	443	7471
56	449	7441
57	457	7435
58	465	7431
59	473	7422
60	481	7412
61	489	7400
62	496	7386
63	504	7374
64	512	7377
65	522	7396
66	531	7398
67	539	7397
68	547	7385
69	555	7374
70	562	7364
71	571	7361
72	579	7358
73	587	7348
74	594	7335
75	602	7323
76	610	7312
77	618	7305
78	625	7297
79	633	7287
80	641	7277
81	649	7271
82	657	7259
83	664	7251
84	673	7245
85	681	7240
86	689	7232
87	697	7224
88	704	7213
89	712	7204
90	720	7199
91	728	7190
92	736	7182
93	744	7173
94	752	7165
95	759	7156
96	767	7145
97	776	7145
98	785	7146
99	793	7143
100	801	7135
101	809	7125
102	816	7114
103	824	7103
104	830	7082
105	838	7070
106	846	7064
107	854	7055
108	861	7045
109	869	7035
110	877	7026
111	885	7019
112	893	7010
113	901	7004
114	909	6996
115	917	6990
116	925	6984
117	933	6979
118	940	6962
119	948	6952
120	956	6947
121	961	6921
122	969	6911
123	977	6903
124	980	6860
125	987	6851
126	993	6828
127	1001	6820
128	1011	6832
129	1020	6826
130	1029	6827
131	1037	6825
132	1046	6819
133	1054	6816
134	1063	6816
135	1073	6822
136	1082	6818
137	1090	6814
138	1099	6810
139	1107	6803
140	1118	6812
141	1126	6806
142	1135	6806
143	1144	6801
144	1152	6795
145	1160	6788
146	1169	6784
147	1177	6778
148	1186	6776
149	1194	6769
150	1203	6764
151	1211	6757
152	1219	6753
153	1228	6747
154	1236	6741
155	1245	6737
156	1255	6739
157	1263	6735
158	1272	6731
159	1280	6725
160	1289	6722
161	1299	6719
162	1307	6715
163	1316	6710
164	1324	6705
165	1333	6698
166	1343	6700
167	1353	6701
168	1363	6702
169	1373	6704
170	1381	6699
171	1390	6694
172	1399	6690
173	1407	6683
174	1414	6666
175	1421	6656
176	1431	6654
177	1439	6648
178	1449	6646
179	1457	6638
180	1466	6635
181	1475	6629
182	1483	6624
183	1491	6615
184	1500	6611
185	1509	6605
