iter	MAE
0	8.056499303
1	7.971824126
2	7.911239191
3	7.867682093
4	7.804954624
5	7.740776556
6	7.684500628
7	7.631112103
8	7.582582214
9	7.539307605
10	7.521009069
11	7.479285343
12	7.432741846
13	7.402225446
14	7.353913638
15	7.314817515
16	7.272225049
17	7.238165612
18	7.194071799
19	7.166154242
20	7.138596236
21	7.110413916
22	7.092380755
23	7.068918153
24	7.044397111
25	7.009644441
26	6.988014876
27	6.957446929
28	6.942689307
29	6.910289269
30	6.885100978
31	6.862422436
32	6.852231848
33	6.833369877
34	6.820678844
35	6.795301107
36	6.77589114
37	6.751157582
38	6.73389808
39	6.705840985
40	6.691085526
41	6.662991831
42	6.639492992
43	6.624775985
44	6.606833708
45	6.586936414
46	6.569038322
47	6.551961161
48	6.532265511
49	6.517788538
50	6.504376095
51	6.486145913
52	6.474558262
53	6.470765747
54	6.453950142
55	6.440465066
56	6.431704083
57	6.416363722
58	6.402076276
59	6.391467917
60	6.38170657
61	6.36018938
62	6.353960581
63	6.33946793
64	6.326570306
65	6.31119466
66	6.295053457
67	6.279366957
68	6.268591235
69	6.255303984
70	6.247714859
71	6.236461446
72	6.219782569
73	6.208234057
74	6.200061429
75	6.185545668
76	6.173736905
77	6.16211175
78	6.152538341
79	6.141107281
80	6.122961061
81	6.113497497
82	6.107334585
83	6.095785705
84	6.082700336
85	6.064881505
86	6.049495943
87	6.033321782
88	6.026088883
89	6.015350002
90	6.00298372
91	5.993380821
92	5.986266262
93	5.979292116
94	5.973341302
95	5.966059455
96	5.955063157
97	5.94514979
98	5.934561098
99	5.927024081
100	5.917002825
101	5.910236395
102	5.904723265
103	5.896891939
104	5.892236055
105	5.886314186
106	5.876981679
107	5.868153438
108	5.861385175
109	5.857000058
110	5.850730313
111	5.839000856
112	5.830988073
113	5.821390297
114	5.812508964
115	5.808721191
116	5.800531088
117	5.795925283
118	5.791602833
119	5.784176922
120	5.775124066
121	5.773511963
122	5.763624209
123	5.756770223
124	5.755737608
125	5.747635391
126	5.745185074
127	5.738845381
128	5.726643627
129	5.718449233
130	5.713090989
131	5.705202006
132	5.696103893
133	5.689841843
134	5.68439597
135	5.672908805
136	5.667167068
137	5.663276322
138	5.659247583
139	5.648846763
140	5.64256277
141	5.638830871
142	5.634462846
143	5.627648086
144	5.621501838
145	5.616209308
146	5.609101378
147	5.601333906
148	5.593571655
149	5.5888254
150	5.58340583
151	5.576810104
152	5.564564104
153	5.557013006
154	5.552818852
155	5.546889864
156	5.542516676
157	5.535905354
158	5.524671946
159	5.516349759
160	5.508358203
161	5.499068064
162	5.491584272
163	5.485889986
164	5.484655792
165	5.477816632
166	5.474384606
167	5.466844615
168	5.452242479
169	5.447825605
170	5.441976481
171	5.433467312
172	5.428964646
173	5.424450747
174	5.421744601
175	5.415869041
176	5.40934273
177	5.402162731
178	5.398175109
179	5.390550829
180	5.382963057
181	5.377674729
182	5.368783168
183	5.358844369
184	5.351855909
185	5.343637543
186	5.337101464
187	5.332061454
188	5.327427969
189	5.323434322
190	5.315688964
191	5.309013816
192	5.299930792
193	5.296803255
194	5.292105213
195	5.286427908
196	5.278111459
197	5.269053499
198	5.265304812
199	5.255583201
200	5.252812253
201	5.247153858
202	5.240898582
203	5.234275211
204	5.22831989
205	5.223151095
206	5.218223951
207	5.210448003
208	5.202360336
209	5.194678549
210	5.188897322
211	5.18283696
212	5.176871251
213	5.171589585
214	5.164713899
215	5.157030284
216	5.154077099
217	5.143913309
218	5.139973764
219	5.135791753
220	5.127452815
221	5.123325634
222	5.11533605
223	5.10798718
224	5.100668407
225	5.093196069
226	5.087652016
227	5.082956462
228	5.074322583
229	5.064663543
230	5.058134584
231	5.053638562
232	5.048070669
233	5.043557387
234	5.040392625
235	5.036929896
236	5.030446523
237	5.023202476
238	5.0166091
239	5.012385608
240	5.005508051
241	4.997383111
242	4.990817525
243	4.982870266
244	4.977471039
245	4.972303254
246	4.965137797
247	4.960786818
248	4.949714615
249	4.946891364
250	4.943261418
251	4.937024365
252	4.929597129
253	4.924211041
254	4.916231237
255	4.912070466
256	4.90772502
257	4.89974575
258	4.896478396
259	4.8887234
260	4.88131822
261	4.877460284
262	4.870343025
263	4.86793829
264	4.863322735
265	4.858640551
266	4.854891943
267	4.848086474
268	4.841436553
269	4.835722421
270	4.829440575
271	4.822536271
272	4.814107564
273	4.812014543
274	4.804482724
275	4.79901785
276	4.793451332
277	4.786881439
278	4.779219619
279	4.772216426
280	4.767539706
281	4.762670677
282	4.757329334
283	4.753469061
284	4.746880501
285	4.740360434
286	4.735316964
287	4.7323807
288	4.727223568
289	4.721999022
290	4.716688313
291	4.713819692
292	4.708834589
293	4.704861797
294	4.701168612
295	4.695354579
296	4.692110107
297	4.689143432
298	4.684385574
299	4.678451026
300	4.673401163
301	4.665805868
302	4.660422581
303	4.653237918
304	4.648919537
305	4.647272559
306	4.644718742
307	4.641039698
308	4.634194057
309	4.629688028
310	4.622638272
311	4.618924425
312	4.615262209
313	4.608953252
314	4.60607097
315	4.604086917
316	4.596897782
317	4.590523148
318	4.584811073
319	4.58253149
320	4.579702384
321	4.577047628
322	4.568899228
323	4.565219742
324	4.560875193
325	4.556384987
326	4.552990467
327	4.550329813
328	4.544355536
329	4.540468611
330	4.534728697
331	4.529588672
332	4.525486344
333	4.522183799
334	4.516990881
335	4.51325993
336	4.509884795
337	4.505207728
338	4.502564994
339	4.498186558
340	4.494788543
341	4.491662596
342	4.487883391
343	4.482001254
344	4.480504042
345	4.476129471
346	4.471005861
347	4.467425252
348	4.464328331
349	4.461709617
350	4.458718416
351	4.455239925
352	4.450048768
353	4.446189028
354	4.441751531
355	4.439095167
356	4.436333705
357	4.432940683
358	4.43006861
359	4.423243199
360	4.42045433
361	4.416768388
362	4.414412797
363	4.409844651
364	4.406924415
365	4.404150605
366	4.402101009
367	4.398776782
368	4.395647807
369	4.392914166
370	4.39033313
371	4.387302522
372	4.383814499
373	4.381878898
374	4.378870826
375	4.375473253
376	4.371095172
377	4.367281267
378	4.365388136
379	4.361899388
380	4.359416987
381	4.356655463
382	4.350856972
383	4.348636941
384	4.342394038
385	4.335704507
386	4.334007678
387	4.33057815
388	4.329055429
389	4.327507648
390	4.32433222
391	4.317460025
392	4.313028458
393	4.311967652
394	4.308024595
395	4.305844521
396	4.302807049
397	4.299039141
398	4.297106477
399	4.294461674
400	4.288746628
401	4.286677551
402	4.283823043
403	4.280686449
404	4.278728744
405	4.276143316
406	4.274187841
407	4.269568537
408	4.264235912
409	4.258422459
410	4.255304176
411	4.253613671
412	4.252120016
413	4.248686595
414	4.245114236
415	4.243788281
416	4.242392899
417	4.239426352
418	4.236086554
419	4.231203387
420	4.228708967
421	4.224548118
422	4.222166141
423	4.218882472
424	4.215722222
425	4.208627427
426	4.206589899
427	4.203704529
428	4.199522736
429	4.194175938
430	4.192544982
